name,data
AHIMSA VEGE HEALTH FOOD INDUSTRIES SDN BHD (SOLAR),"{""klien"":""AHIMSA VEGE HEALTH FOOD INDUSTRIES SDN BHD (SOLAR)"",""alamat"":""No. 17, JALAN KESUMA 2/3, BANDAR TASIK KESUMA,\n43700 BERANANG\nSELANGOR"",""ampere"":""400A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""AHIMSA VEGE HEALTH FOOD INDUSTRIES SDN BHD (SOLAR)"",""giliran_no"":""1"",""company_name"":""AHIMSA VEGE HEALTH FOOD INDUSTRIES SDN BHD (SOLAR)"",""default_remark"":""MSB Solar: 423/423/423V. 223/223/222A. PF=-0.99.\nTo improve house keeping."",""default_remarks"":[""MSB Solar: 423/423/423V. 223/223/222A. PF=-0.99.\nTo improve house keeping."",""Tiada"",""Tiada""]}"
ASIA FURNITURE (E) MANUFACTURING SDN BHD,"{""klien"":""ASIA FURNITURE (E) MANUFACTURING SDN BHD"",""alamat"":""LOT 1857 & 8381, KAWASAN PERUSAHAAN BUKIT ANGKAT SG. CHUA,\n43000 KAJANG\nSELANGOR"",""ampere"":""2x800A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 3"",""nickname"":""ASIA FURNITURE (E) MANUFACTURING SDN BHD"",""giliran_no"":""1"",""company_name"":""ASIA FURNITURE (E) MANUFACTURING SDN BHD"",""default_remark"":""To change all “Danger” and “No Admittance” signboards at all doors for MSB’s\nF1 PF 0.95, F2 0.99"",""default_remarks"":[""To change all “Danger” and “No Admittance” signboards at all doors for MSB’s\nF1 PF 0.95, F2 0.99"",""Tiada"",""Tiada""]}"
CENTRO PROPERTIES GROUP SDN BHD,"{""klien"":""CENTRO PROPERTIES GROUP SDN BHD"",""alamat"":""8, JALAN BATU TIGA LAMA\n41300 KLANG\nSELANGOR"",""ampere"":""300A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""part 3"",""nickname"":""CENTRO PROPERTIES GROUP SDN BHD"",""giliran_no"":""1"",""company_name"":""CENTRO PROPERTIES GROUP SDN BHD"",""default_remark"":""Electrical loading: 11.2kV @ 120A.\nGenset run:482.03hr @ 28.6kWh.\nTo update the schematic diagram for MSB, EMSB 1&2.\n1 unit of OC/EF protection relay faulty at 11kV VCB room, to check and replace."",""default_remarks"":[""Electrical loading: 11.2kV @ 120A.\nGenset run:482.03hr @ 28.6kWh.\nTo update the schematic diagram for MSB, EMSB 1&2.\n1 unit of OC/EF protection relay faulty at 11kV VCB room, to check and replace."",""Tiada"",""Tiada""]}"
CORLITE PACKAGING INDUSTRIES SDN BHD (PLANT 1),"{""klien"":""CORLITE PACKAGING INDUSTRIES SDN BHD (PLANT 1)"",""alamat"":""NO. 6, JALAN WAWASAN 1, KAWASAN PERINDUSTRIAN SG. KAPAR INDAH\n42200 KLANG\nSELANGOR"",""ampere"":""300A"",""kepada"":""Selangor"",""voltan"":""400V SOLAR"",""category"":""Part 3"",""nickname"":""CORLITE PACKAGING INDUSTRIES SDN BHD (PLANT 1)"",""giliran_no"":""1"",""company_name"":""CORLITE PACKAGING INDUSTRIES SDN BHD (PLANT 1)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
CORLITE PACKAGING INDUSTRIES SDN BHD (PLANT 2),"{""klien"":""CORLITE PACKAGING INDUSTRIES SDN BHD (PLANT 2)"",""alamat"":""NO. 12, JALAN WAWASAN 1, KAWASAN PERINDUSTRIAN SG. KAPAR INDAH\n42200 KLANG\nSELANGOR"",""ampere"":""500A"",""kepada"":""Selangor"",""voltan"":""400V SOLAR"",""category"":""Part 3"",""nickname"":""CORLITE PACKAGING INDUSTRIES SDN BHD (PLANT 2)"",""giliran_no"":""1"",""company_name"":""CORLITE PACKAGING INDUSTRIES SDN BHD (PLANT 2)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
DURABON SDN BHD,"{""klien"":""DURABON SDN BHD"",""alamat"":""LOT 22936\nBATU 6, JALAN KEBUN KAMPUNG JAWA MUKIM\n42450 KLANG\nSELANGOR"",""ampere"":""250A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""DURABON SDN BHD (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""DURABON SDN BHD"",""default_remark"":""Loading: 11.20kV, 10A. PF:0.93"",""default_remarks"":[""Loading: 11.20kV, 10A. PF:0.93"",""Tiada"",""Tiada""]}"
DURABON SDN BHD (SOLAR),"{""klien"":""DURABON SDN BHD (SOLAR)"",""alamat"":""LOT 22936, BATU 6, JALAN KEBUN KAMPUNG JAWA,\n42450 KLANG\nSELANGOR"",""ampere"":""800A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""DURABON SDN BHD (SOLAR)"",""giliran_no"":""1"",""company_name"":""DURABON SDN BHD (SOLAR)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
DURABON SDN. BHD,"{""klien"":""DURABON SDN. BHD"",""alamat"":""LOT 22936\nBATU 6, JALAN KEBUN KAMPUNG JAWA MUKIM\n42450 KLANG\nSELANGOR"",""ampere"":""250A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""DURABON SDN BHD (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""DURABON SDN. BHD"",""default_remark"":""Loading: 11.30kV, 10A. PF:0.94"",""default_remarks"":[""Loading: 11.30kV, 10A. PF:0.94"",""Tiada"",""Tiada""]}"
EKSPEDISI EMAS SDN BHD,"{""klien"":""EKSPEDISI EMAS SDN BHD"",""alamat"":""LOT 37652 JALAN KARUNMAS\nTAMAN DESA KARUNMAS\n43300 BALAKONG\nSELANGOR"",""ampere"":""116A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""EKSPEDISI EMAS SDN BHD (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""EKSPEDISI EMAS SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
EKSPEDISI EMAS SDN. BHD.,"{""klien"":""EKSPEDISI EMAS SDN. BHD."",""alamat"":""LOT 37652 JALAN KARUNMAS\nTAMAN DESA KARUNMAS\n43300 BALAKONG\nSELANGOR"",""ampere"":""116A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""EKSPEDISI EMAS SDN. BHD. (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""EKSPEDISI EMAS SDN. BHD."",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
EVERGREEN MARINE CORPORATION (M) SDN BHD,"{""klien"":""EVERGREEN MARINE CORPORATION (M) SDN BHD"",""alamat"":""7, JALAN JURUTERA U1/23\nHICOM-GLENMARIE INDUSTRIAL PARK\n40150 SHAH ALAM\nSELANGOR"",""ampere"":""400A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 3"",""nickname"":""EVERGREEN MARINE CORPORATION (M) SDN BHD"",""giliran_no"":""1"",""company_name"":""EVERGREEN MARINE CORPORATION (M) SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
EXCELLENT BLOSSOM SDN BHD,"{""klien"":""EXCELLENT BLOSSOM SDN BHD"",""alamat"":""DKSH MALAYSIA SDN BHD\n3, JALAN SEPINTAS 26/13, HICOM INDUSTRIAL ESTATE,\n40400 SHAH ALAM\nSELANGOR"",""ampere"":""700A"",""kepada"":""Selangor"",""voltan"":""400V SOLAR"",""category"":""Part 3"",""nickname"":""EXCELLENT BLOSSOM SDN BHD (DKSH SHAH ALAM)"",""giliran_no"":""1"",""company_name"":""EXCELLENT BLOSSOM SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""To PE Endorsed SLD at the PV MSB"",""Tiada""]}"
EXPRESS AUDIO INDUSTRY SDN BHD,"{""klien"":""EXPRESS AUDIO INDUSTRY SDN BHD"",""alamat"":""LOT. 19089, NO. 6, JALAN TAMING 1,\nTAMAN TAMING JAYA,\n43300 BALAKONG\nSELANGOR"",""ampere"":""60A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""EXPRESS AUDIO INDUSTRY SDN BHD (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""EXPRESS AUDIO INDUSTRY SDN BHD"",""default_remark"":""To clean up MSB room"",""default_remarks"":[""To clean up MSB room"",""Tiada"",""Tiada""]}"
EXPRESS AUDIO INDUSTRY SDN. BHD.,"{""klien"":""EXPRESS AUDIO INDUSTRY SDN. BHD."",""alamat"":""LOT. 19089, NO. 6, JALAN TAMING 1,\nTAMAN TAMING JAYA,\n43300 BALAKONG\nSELANGOR"",""ampere"":""60A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 3"",""nickname"":""EXPRESS AUDIO INDUSTRY SDN. BHD. (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""EXPRESS AUDIO INDUSTRY SDN. BHD."",""default_remark"":""To clean up MSB room"",""default_remarks"":[""To clean up MSB room"",""Tiada"",""Tiada""]}"
